created_at,entry_id,field1,field2,field3
2023-04-28 07:50:57 UTC,8248,16.10000,41.20000,4878145
2023-04-28 07:52:58 UTC,8249,16.10000,41.40000,4999152
2023-04-28 07:55:04 UTC,8250,16.00000,41.30000,5125124
2023-04-28 07:57:10 UTC,8251,15.90000,41.40000,5251175
2023-04-28 07:59:15 UTC,8252,16.00000,41.30000,5377125
2023-04-28 08:01:32 UTC,8253,16.10000,41.10000,5513101
2023-04-28 08:03:33 UTC,8254,16.30000,41.00000,5634139
2023-04-28 08:05:34 UTC,8255,16.40000,40.80000,5755164
2023-04-28 08:07:35 UTC,8256,16.60000,40.80000,5876243
2023-04-28 08:09:56 UTC,8257,16.80000,40.50000,6017375
2023-04-28 08:12:37 UTC,8258,17.10000,40.30000,6178528
2023-04-28 08:14:53 UTC,8259,17.20000,40.10000,6314617
2023-04-28 08:17:09 UTC,8260,17.50000,40.00000,6450647
2023-04-28 08:19:40 UTC,8261,17.70000,39.80000,6601830
2023-04-28 08:21:51 UTC,8262,17.80000,39.70000,6732803
2023-04-28 08:24:37 UTC,8263,17.90000,39.60000,6899002
2023-04-28 08:27:04 UTC,8264,18.00000,39.40000,7045097
2023-04-28 08:29:15 UTC,8265,18.00000,39.30000,7176203
2023-04-28 08:31:16 UTC,8266,17.90000,39.40000,7297144
2023-04-28 08:33:32 UTC,8267,17.80000,39.50000,7433122
2023-04-28 08:35:33 UTC,8268,17.70000,39.40000,7554155
2023-04-28 08:37:34 UTC,8269,17.60000,39.40000,7675173
2023-04-28 08:39:40 UTC,8270,17.50000,39.40000,7801289
2023-04-28 08:41:56 UTC,8271,17.40000,39.40000,7937350
2023-04-28 08:44:47 UTC,8272,17.40000,39.20000,8108568
2023-04-28 08:47:23 UTC,8273,17.30000,38.90000,8264712
2023-04-28 08:49:49 UTC,8274,17.40000,38.80000,8410753
2023-04-28 08:52:00 UTC,8275,17.60000,38.50000,8541745
2023-04-28 08:54:01 UTC,8276,17.70000,38.20000,8662681
2023-04-28 08:56:02 UTC,8277,17.90000,38.00000,8783697
2023-04-28 08:58:28 UTC,8278,18.10000,37.80000,8929797
2023-04-28 09:00:49 UTC,8279,18.20000,37.80000,9070857
2023-04-28 09:03:05 UTC,8280,18.30000,37.60000,9206911
2023-04-28 09:05:11 UTC,8281,18.40000,37.60000,9332945
2023-04-28 09:07:17 UTC,8282,18.60000,37.50000,9458921
2023-04-28 09:09:18 UTC,8283,18.70000,37.50000,9580031
2023-04-28 09:11:20 UTC,8284,18.80000,37.60000,9701153
2023-04-28 09:13:31 UTC,8285,19.00000,37.50000,9832281
2023-04-28 09:15:32 UTC,8286,19.10000,37.50000,9953322
2023-04-28 09:17:33 UTC,8287,19.20000,37.50000,10074449
2023-04-28 09:19:34 UTC,8288,19.40000,37.20000,10195693
2023-04-28 09:21:35 UTC,8289,19.60000,37.20000,10316793
2023-04-28 09:23:36 UTC,8290,19.80000,37.00000,10437855
2023-04-28 09:25:47 UTC,8291,20.10000,36.80000,10568965
2023-04-28 09:27:53 UTC,8292,20.30000,36.60000,10695076
2023-04-28 09:29:59 UTC,8293,20.60000,36.30000,10821056
2023-04-28 09:32:00 UTC,8294,20.90000,36.20000,10942045
2023-04-28 09:34:01 UTC,8295,21.10000,36.10000,11063094
2023-04-28 09:36:03 UTC,8296,21.30000,36.00000,11184167
2023-04-28 09:38:14 UTC,8297,21.40000,35.80000,11315306
2023-04-28 09:40:15 UTC,8298,21.40000,35.80000,11436587
2023-04-28 09:42:26 UTC,8299,21.40000,35.70000,11567930
2023-04-28 09:44:28 UTC,8300,21.40000,35.70000,11689097
2023-04-28 09:46:29 UTC,8301,21.30000,35.80000,11810453
2023-04-28 09:48:50 UTC,8302,21.10000,35.80000,11951627
2023-04-28 09:51:01 UTC,8303,21.00000,35.80000,12082967
2023-04-28 09:53:08 UTC,8304,21.10000,35.70000,12209094
2023-04-28 09:55:09 UTC,8305,21.20000,35.60000,12330263
2023-04-28 09:57:10 UTC,8306,21.40000,35.30000,12451436
2023-04-28 09:59:21 UTC,8307,21.60000,35.10000,12582591
2023-04-28 10:01:42 UTC,8308,21.70000,35.00000,12723733
2023-04-28 10:03:43 UTC,8309,21.70000,35.00000,12844859
2023-04-28 10:05:44 UTC,8310,21.60000,35.00000,12965995
2023-04-28 10:07:45 UTC,8311,21.70000,35.00000,13087085
2023-04-28 10:09:52 UTC,8312,21.80000,34.80000,13213123
2023-04-28 10:11:53 UTC,8313,21.90000,34.70000,13334198
2023-04-28 10:13:54 UTC,8314,22.10000,34.50000,13455235
2023-04-28 10:15:55 UTC,8315,22.10000,34.40000,13576377
2023-04-28 10:17:56 UTC,8316,22.10000,34.30000,13697441
2023-04-28 10:20:17 UTC,8317,22.00000,34.50000,13838548
2023-04-28 10:22:38 UTC,8318,21.80000,34.60000,13979643
2023-04-28 10:24:49 UTC,8319,21.60000,34.70000,14110698
